year,group,match,team,score,TPP,shots,target,possession,target_shots,coner.kicks,TPC,TPA,LPC_SPC,LPP,LPC,LPA,SPC,SPA,LPC_LPA,SPP,LPP_SPP,MPC,MPA,SPA_LPA,LB,CB,RB,BACK,LM,CM,RM,LF,CF,RF,LA,CA,RA,fouls,side,formation,Opponent,side_attack,result,cluster
2010,E,29,Japan,3,63,15,10,44,0.666666667,2,220,348,0.545454545,0.455696203,36,79,66,88,0.455696203,0.75,0.607594937,118,181,1.11392405,1,13,6,0.05,11,15,21,5,13,15,24,13,63,10,59,4123,Denmark,59,w,2
2010,E,30,Cameroon,1,70,15,3,51,0.2,6,431,616,0.693877551,0.581196581,68,117,98,144,0.581196581,0.680555556,0.85400314,265,355,1.230769231,3,14,5,0.045454545,13,23,15,4,16,7,34,22,44,18,47,442,Netherlands,47,l,1
2010,E,30,Netherlands,2,66,15,8,49,0.533333333,1,369,563,0.346938776,0.395348837,34,86,98,152,0.395348837,0.644736842,0.613194115,237,325,1.767441859,6,18,5,0.034482759,15,17,14,3,19,4,67,22,11,15,47,4231,Cameroon,47,w,1
2010,F,31,Italy,1,70,10,5,52,0.5,8,427,611,0.360544218,0.486238532,53,109,147,189,0.486238532,0.777777778,0.625163827,227,313,1.733944953,4,9,6,0.052631579,15,16,19,11,10,10,72,21,7,15,65,4231,Paraguay,65,d,4
2010,F,31,Paraguay,1,63,8,1,48,0.125,4,300,475,0.49382716,0.416666667,40,96,81,119,0.416666667,0.680672269,0.612139918,179,260,1.239583333,6,14,7,0.037037037,20,19,13,3,15,3,29,0,71,15,52,4132,Italy,52,d,3
2010,F,32,New Zealand,1,68,8,2,52,0.25,3,286,421,1.477272727,0.528455285,65,123,44,64,0.528455285,0.6875,0.768662232,177,234,0.520325203,5,12,5,0.045454545,16,19,23,4,14,2,100,0,0,17,55,433,Slovakia,55,d,2
2010,F,32,Slovakia,1,61,13,3,48,0.230769231,10,248,407,1.384615385,0.490909091,54,110,39,66,0.490909091,0.590909091,0.830769231,155,231,0.6,3,17,6,0.038461538,12,15,22,2,19,6,45,33,22,15,51,4132,New Zealand,51,d,1
2010,F,33,Slovakia,0,70,6,1,51,0.166666667,3,330,469,0.56097561,0.489361702,46,94,82,121,0.489361702,0.67768595,0.722106902,202,254,1.287234043,4,17,10,0.032258065,11,16,16,4,19,5,0,50,50,14,50,442,Paraguay,50,l,1
2010,F,33,Paraguay,2,67,11,5,49,0.454545455,1,308,457,0.705882353,0.545454546,48,88,68,101,0.545454545,0.673267327,0.810160428,192,268,1.147727272,2,11,6,0.052631579,17,19,16,8,12,9,33,25,42,18,58,433,Slovakia,58,w,3
2010,F,34,Italy,1,75,23,7,57,0.304347826,15,426,571,0.539215686,0.572916667,55,96,102,130,0.572916667,0.784615385,0.730187908,269,345,1.354166668,3,8,4,0.066666667,15,22,17,9,9,13,20,35,45,11,61,442,New Zealand,61,d,4
