"year","group","match","team","score","TPP","possession","target_shots","BACK","SMPC_TPC","fouls","side","side_attack","LB","CB","RB","LM","CM","RM","LF","CF","RF","LA","CA","RA","formation","Opponent","result","cluster"
2010,"G",39,"Brazil",3,84,56,0.5,0.05,0.89254386,17,49,49,4,12,4,12,25,23,2,14,4,11,56,33,"4312","Ivory Coast","w",1
2010,"G",39,"Ivory Coast",1,76,44,0.4,0.05,0.895081967,23,63,63,5,10,5,19,16,17,6,11,11,37,13,50,"433","Brazil","l",3
2010,"G",40,"Portugal",7,75,54,0.5,0.052631579,0.845454545,18,57,57,3,11,5,15,18,17,7,12,10,43,48,9,"433","North Korea","w",1
2010,"G",40,"North Korea",0,70,46,0.266666667,0.043478261,0.885448916,3,54,54,3,12,8,13,20,16,4,14,10,0,60,40,"523","Portugal","l",1
2010,"G",41,"Portugal",0,69,39,0.230769231,0.032258065,0.810909091,11,54,54,8,16,7,12,13,18,5,17,4,60,10,30,"4123","Brazil","d",4
2010,"G",41,"Brazil",0,84,61,0.263157895,0.076923077,0.894295302,18,56,56,3,7,3,15,30,18,5,7,12,31,32,37,"433","Portugal","d",2
2010,"G",42,"North Korea",0,58,39,0.5,0.038461538,0.838842975,13,48,48,7,15,4,11,21,18,1,16,7,25,50,25,"541","Ivory Coast","l",4
2010,"G",42,"Ivory Coast",3,76,61,0.535714286,0.076923077,0.842553191,16,67,67,4,6,3,14,19,21,9,8,16,25,30,45,"4123","North Korea","w",2
2010,"H",43,"Honduras",0,58,43,0.285714286,0.041666667,0.800995025,15,50,50,4,15,5,13,18,17,4,17,7,49,13,38,"4231","Chile","l",4
2010,"H",43,"Chile",1,73,57,0.25,0.043478261,0.762402089,21,53,53,5,12,6,14,22,16,6,13,6,25,25,50,"433","Honduras","w",4
2010,"H",44,"Spain",0,77,63,0.333333333,0.090909091,0.787476281,8,62,62,3,6,2,16,23,16,14,9,11,33,28,39,"4123","Switzerland","l",2
2010,"H",44,"Switzerland",1,57,37,0.375,0.03030303,0.796703297,21,45,45,3,20,10,14,15,12,2,21,4,0,67,33,"442","Spain","w",4
2010,"H",45,"Chile",1,77,58,0.35,0.055555556,0.791762014,19,61,61,4,9,5,15,21,18,10,9,9,53,21,26,"433","Switzerland","w",2
2010,"H",45,"Switzerland",0,56,42,0.142857143,0.034482759,0.896969697,26,53,53,5,15,9,9,16,17,6,16,7,40,20,40,"442","Chile","l",4
2010,"H",46,"Spain",2,77,57,0.318181818,0.066666667,0.903292181,9,63,63,4,7,4,8,21,19,12,9,16,27,23,50,"41212","Honduras","w",2
2010,"H",46,"Honduras",0,68,43,0,0.037037037,0.887372014,19,58,58,6,11,10,10,18,19,4,13,9,17,33,50,"4231","Spain","l",4
2010,"H",47,"Chile",1,72,41,0.444444444,0.037037037,0.842465753,21,57,57,8,14,5,17,13,14,6,16,7,40,40,20,"433","Spain","l",3
2010,"H",47,"Spain",2,84,59,0.333333333,0.076923077,0.927066451,13,55,55,2,6,5,14,33,23,4,6,7,62,25,13,"4123","Chile","w",2
2010,"H",48,"Switzerland",0,79,56,0.294117647,0.05,0.896907216,12,53,53,4,11,5,16,24,16,4,12,8,28,43,29,"442","Honduras","d",1
2010,"H",48,"Honduras",0,66,44,0.25,0.035714286,0.825095057,18,56,56,6,15,7,16,13,15,6,16,6,66,17,17,"442","Switzerland","d",4
2010,"16",49,"Uruguay",2,62,45,0.571428571,0.047619048,0.832089552,12,62,62,4,11,6,16,15,21,5,12,10,20,10,70,"433","South Korea","w",3
2010,"16",49,"South Korea",1,71,55,0.333333333,0.0625,0.844339623,12,68,68,3,7,6,14,17,21,9,8,15,9,27,64,"4231","Uruguay","l",2
2010,"16",50,"United States",1,60,51,0.3,0.035714286,0.874015748,11,51,51,7,15,6,11,19,13,4,15,10,23,33,44,"442","Ghana","l",4
2010,"16",50,"Ghana",2,63,49,0.375,0.052631579,0.820399113,19,59,59,3,10,6,14,19,21,5,12,10,34,33,33,"523","United States","w",3
2010,"16",51,"Germany",4,66,48,0.411764706,0.041666667,0.846153846,7,63,63,5,11,8,14,15,17,8,11,11,27,40,33,"4231","England","w",3
2010,"16",51,"England",1,70,52,0.473684211,0.052631579,0.890756303,6,56,56,5,9,5,19,25,14,6,10,7,33,42,25,"442","Germany","l",1
2010,"16",52,"Argentina",3,73,51,0.545454545,0.052631579,0.884210526,11,53,53,4,12,3,16,20,19,6,15,5,25,50,25,"4123","Mexico","w",1
2010,"16",52,"Mexico",1,75,49,0.375,0.066666667,0.866323907,26,64,64,3,7,5,13,21,20,12,8,11,28,43,29,"433","Argentina","l",2
2010,"16",53,"Netherlands",2,74,52,0.5625,0.041666667,0.831202046,17,54,54,4,14,6,15,17,19,4,15,6,29,57,14,"4231","Slovakia","w",1
2010,"16",53,"Slovakia",1,73,48,0.25,0.05,0.885245902,19,58,58,3,11,6,16,19,23,4,12,6,45,22,33,"41212","Netherlands","l",3
2010,"16",54,"Brazil",3,63,50,0.352941176,0.045454545,0.854609929,14,52,52,3,14,5,14,18,15,5,16,10,25,42,33,"41212","Chile","w",4
2010,"16",54,"Chile",0,65,50,0.2,0.0625,0.905775076,18,57,57,3,9,4,11,21,17,10,11,12,24,63,13,"433","Brazil","l",3
2010,"16",55,"Paraguay",0,60,58,0.461538462,0.045454545,0.828804348,26,58,58,4,12,6,15,16,20,8,14,5,56,22,22,"4123","Japan","d",3
2010,"16",55,"Japan",0,53,42,0.416666667,0.043478261,0.862222222,29,53,53,4,13,6,10,17,19,3,15,11,33,50,17,"4123","Paraguay","d",4
2010,"16",56,"Spain",1,84,61,0.526315789,0.055555556,0.892913386,13,52,52,3,9,6,11,29,17,8,10,7,30,50,20,"442","Portugal","w",1
